Tweets Ago,compound,date,neg,neu,pos,time,user
8,0.4885,2018-03-01,0.151,0.615,0.234,Thu Mar 01 18:10:50 +0000 2018,@CBS
9,0.5994,2018-03-01,0.0,0.822,0.178,Thu Mar 01 14:36:21 +0000 2018,@CBS
10,0.7717,2018-03-01,0.0,0.675,0.325,Thu Mar 01 14:29:20 +0000 2018,@CBS
11,0.6908,2018-03-01,0.0,0.725,0.275,Thu Mar 01 14:15:29 +0000 2018,@CBS
12,0.0,2018-03-01,0.0,1.0,0.0,Thu Mar 01 13:50:11 +0000 2018,@CBS
13,0.0,2018-03-01,0.0,1.0,0.0,Thu Mar 01 01:04:52 +0000 2018,@CBS
14,0.0,2018-02-28,0.0,1.0,0.0,Wed Feb 28 19:56:58 +0000 2018,@CBS
15,0.4404,2018-02-28,0.0,0.884,0.116,Wed Feb 28 19:08:30 +0000 2018,@CBS
16,0.5562,2018-02-27,0.0,0.848,0.152,Tue Feb 27 03:23:47 +0000 2018,@CBS
17,0.0,2018-02-26,0.0,1.0,0.0,Mon Feb 26 22:50:32 +0000 2018,@CBS
18,0.0,2018-02-26,0.0,1.0,0.0,Mon Feb 26 21:08:30 +0000 2018,@CBS
19,0.4482,2018-02-26,0.0,0.895,0.105,Mon Feb 26 19:53:41 +0000 2018,@CBS
20,0.784,2018-02-26,0.0,0.734,0.266,Mon Feb 26 18:32:36 +0000 2018,@CBS
21,0.9359,2018-02-26,0.0,0.571,0.429,Mon Feb 26 18:20:16 +0000 2018,@CBS
22,-0.5423,2018-02-26,0.184,0.816,0.0,Mon Feb 26 16:53:56 +0000 2018,@CBS
23,0.0,2018-02-26,0.0,1.0,0.0,Mon Feb 26 16:52:01 +0000 2018,@CBS
24,0.0,2018-02-26,0.0,1.0,0.0,Mon Feb 26 16:17:55 +0000 2018,@CBS
25,0.7644,2018-02-26,0.0,0.769,0.231,Mon Feb 26 01:12:32 +0000 2018,@CBS
26,0.0,2018-02-25,0.0,1.0,0.0,Sun Feb 25 21:51:32 +0000 2018,@CBS
27,0.0,2018-02-25,0.0,1.0,0.0,Sun Feb 25 21:51:22 +0000 2018,@CBS
28,0.5093,2018-02-23,0.0,0.845,0.155,Fri Feb 23 18:15:40 +0000 2018,@CBS
29,0.0,2018-02-22,0.0,1.0,0.0,Thu Feb 22 19:26:52 +0000 2018,@CBS
